"Language
","Original purpose
","Imperative
","Object-oriented
","Functional
","Procedural
","Generic
","Reflective
","Other paradigms
","Standardized?
"
"Factor
","General
","Yes
","No
","Can be viewed as
","No
","Yes
","Yes
","Stack-oriented
","No
"
"FP
","
","No
","No
","Yes
","No
","No
","No
","
","No
"
"F#
","Application
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","No
"
"Forth
","General
","Yes
","No
","Yes
","Yes
","No
","Yes
","Stack-oriented
","Yes1994, ANSI
"
"Fortran
","Application, numerical computing
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","Array-based, vectorized, concurrent, native distributed/shared-memory parallelism
","Yes1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008), ISO/IEC JTC1/SC22/WG5 N2145 (2018)
"
"FreeBASIC
","Application, numerical computing
","Yes
","Yes
","No
","Yes
","Yes
","No
","
","No
"
"Gambas
","Application
","Yes
","Yes
","No
","No
","No
","No
","
","No
"
"Game Maker Language
","Application, game programming
","Yes
","Yes
","No
","No
","No
","No
","
","No
"
"GLBasic
","Application, games
","Yes
","Yes
","No
","Yes
","No
","No
","Simple object-oriented
","No
"
"Go
","Application, web, server-side
","Yes
","Can be viewed as[27]
","No
","Yes
","Yes
","Yes
","Concurrent
","De facto standard via Go Language Specification
"
"Gosu
","Application, general, scripting, web
","Yes
","Yes
","No
","No
","Yes
","Yes
","
","No
"
"GraphTalk
","Application
","No
","Yes
","No
","No
","No
","No
","Logic
","No
"
"Groovy
","Application, general, scripting, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Meta-programming
","In progress, JCP[28]
"
"Harbour
","Application, business, data processing, general, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Declarative
","No
"
"Haskell
","Application
","No
","No
","Yes
","No
","Yes
","No
","Lazy evaluation
","Yes2010, Haskell 2010[29]
"
"Haxe
","Application, general, web
","Yes
","Yes
","Yes
","No
","Yes
","Yes
","
","No
"
"HyperNext
","Application, education
","No
","No
","No
","Yes
","No
","No
","Weakly typed
","No
"
"HyperTalk
","Application, RAD, general
","Yes
","No
","No
","Yes
","No
","Yes
","Weakly typed
","Un­known
"
"Io
","Application, host-driven scripting
","Yes
","Yes
","No
","No
","No
","No
","
","No
"
"IPL
","General
","No
","No
","Yes
","No
","No
","No
","
","Un­known
"
"ISLISP
","General
","Yes
","Yes
","Yes
","No
","Yes
","No
","
","Yes1997, 2007, ISO
"
"J
","Application, data processing
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Array-oriented, function-level, tacit, concurrent
","No
"
"JADE
","Application, distributed
","Yes
","Yes
","No
","No
","No
","No
","
","No
"
"Java
","Application, business, client-side, general, mobile development, server-side, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Concurrent
","De facto standard via Java Language Specification
"
"JavaScript
","Client-side, server-side, web
","Yes
","Yes
","Yes
","Yes
","No
","Yes
","prototype-based
","Yes1997-2022, ECMA-262
"
"Joy
","Research
","No
","No
","Yes
","No
","No
","No
","Stack-oriented
","No
"
"jq
","""awk for JSON""
","No
","No
","Yes
","No
","No
","No
","Tacit, Backtracking, Streaming, PEG
","No
"
"Julia
","General, technical computing
","Yes
","No
","Yes
","Yes
","Yes
","Yes
","Multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (""cloud"")
","No
"
"K
","Data processing, business
","No
","No
","No
","No
","No
","No
","Array-oriented, tacit
","Un­known
"
"Kotlin
","Application, mobile development, server-side, client-side, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes[30]
","
","De facto standard via Kotlin Language Specification
"
"Ksh
","Shell, scripting
","Yes
","Yes
","No
","Yes
","No
","No
","Several variants, custom programmable, dynamic loadable modules
","OptionallyPOSIX.2[13]
"
"LabVIEW (G)
","Application, industrial instrumentation-automation
","Yes
","Yes
","Yes
","No
","No
","No
","Dataflow, visual
","No
"
"Lisp
","General
","No
","No
","Yes
","No
","No
","No
","
","Un­known
"
"LiveCode
","Application, RAD, general
","Yes
","Yes
","No
","Yes
","No
","Yes
","Weakly typed
","No
"
"Logtalk
","Artificial intelligence, application
","No
","Yes
","No
","No
","No
","Yes
","Logic
","No
"
"Linden Scripting Language (LSL)
","Virtual worlds content scripting and animation
","Yes
","No
","No
","Yes
","No
","No
","Scripts exist in in-world objects
","De facto reference is the Second Life implementation of LSL.[31]
"
"Lua
","Application, embedded scripting
","Yes
","Yes[32]
","Yes
","Yes
","No
","Yes
","Aspect-oriented, prototype-based
","No[33]
"
"Maple
","Symbolic computation, numerical computing
","Yes
","Yes
","Yes
","Yes
","No
","No
","Distributed
","No
"
"Mathematica
","Symbolic language
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Logic, distributed
","No
"
"MATLAB
","Highly domain-specific, numerical computing
","Yes
","Yes
","No
","Yes
","No
","No
","
","No
"
"Modula-2
","Application, system
","Yes
","No
","No
","No
","Yes
","No
","
","Yes1996, ISO[34]
"
"Modula-3
","Application
","Yes
","Yes
","No
","No
","Yes
","No
","
","No
"
"MUMPS (M)
","General, application, databases
","Yes
","Approved for next Standard
","No
","Yes
","Partially Thru Indirection and Xecute
","Yes
","Concurrent, multi-user, NoSQL, transaction processing
","Yes1977 ANSI, 1995, ISO 2020
"
"Nim
","Application, general, web, scripting, system
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Multiple dispatch, concurrent, meta
","No
"
"Oberon
","Application, system
","Yes
","Yes
","No
","No
","No
","No
","
","No
"
"Object Pascal
","Application, general, mobile app, web
","Yes
","Yes
","No
","Yes
","Yes
","Yes
","Structured
","No
"
"Objective-C
","Application, general
","Yes
","Yes
","No
","Yes
","No
","Yes
","Concurrent
","No
"
"OCaml
","Application, general
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","
","No
"
"Occam
","General
","Yes
","No
","No
","Yes
","No
","No
","Concurrent, process-oriented
","No
"
"Opa
","Web applications
","Yes
","No
","Yes
","No
","Yes
","No
","Distributed
","No
"
"OpenLisp
","General, Embedded Lisp Engine
","Yes
","Yes
","Yes
","No
","Yes
","No
","
","Optionally ISLISP
"
"Oxygene
","Application
","Yes
","Yes
","No
","No
","Yes
","No
","
","No
"
"Oz-Mozart
","Application, distribution, education
","Yes
","Yes
","Yes
","No
","No
","No
","Concurrent, logic
","No
"
"Pascal
","Application, education
","Yes
","No
","No
","Yes
","No
","No
","
","Yes1983, ISO[35]
"
"Perl
","Application, scripting, text processing, Web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","No
"
"PHP
","Server-side, web application, web
","Yes
","Yes[36]
","Yes[37]
","Yes
","No
","Yes
","
","De facto standard via language specification and Requests for Comments (RFCs)
"
"PL/I
","Application
","Yes
","Yes
","No
","Yes
","No
","No
","
","Yes1969, ECMA-50 (1976)
"
"Plus
","Application, system development
","Yes
","No
","No
","Yes
","No
","No
","
","No
"
"PostScript
","Graphics, page description
","Yes
","No
","No
","Yes
","No
","No
","Concatenative, stack-oriented
","De facto standard via the PostScript Reference Manual[38]
"
"PowerShell
","Administration, application, general, scripting
","Yes
","Yes
","Yes
","Yes
","No
","Yes
","Pipeline
","No
"
"Prolog
","Application, artificial intelligence
","No
","No
","Yes
","Yes
","No
","Yes
","Logic, declarative
","Yes1995, ISO/IEC 13211-1:1995, TC1 2007, TC2 2012, TC3 2017
"
"PureBasic
","Application
","No
","No
","No
","Yes
","No
","No
","
","No
"
"Python
","Application, general, web, scripting, artificial intelligence, scientific computing
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Aspect-oriented
","De facto standard via Python Enhancement Proposals (PEPs)
"
"R
","Application, statistics
","Yes
","Yes
","Yes
","Yes
","No
","Yes
","
","No
"
"Racket
","Education, general, scripting
","Yes
","Yes
","Yes
","Yes
","No
","Yes
","Modular, logic, meta
","No
"
"Raku
","Scripting, text processing, glue
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming
","No
"
"REALbasic
","Application
","No
","No
","No
","Yes
","No
","No
","
","Un­known
"
"Rebol
","Distributed
","Yes
","Yes
","Yes
","Yes
","No
","Yes
","Dialected
","No
"
"REXX
","Scripting
","Yes
","Yes (NetRexx and Object REXX dialects)
","No
","Yes
","No
","No
","
","Yes1996 (ANSI X3.274-1996)
"
"RPG
","Application, system
","Yes
","No
","No
","Yes
","No
","No
","
","No
"
"Ring
","Application
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","metaprogramming, declarative, natural-language
","No
"
"Ruby
","Application, scripting, web
","Yes
","Yes
","Yes
","No
","No
","Yes
","Aspect-oriented
","Yes2011(JIS X 3017), 2012(ISO/IEC 30170)
"
"Rust
","Application, server-side, system, web
","Yes
","Yes[39]
","Yes
","Yes
","Yes
","No[40]
","Concurrent
","No
"
"S
","Application, statistics
","Yes
","Yes
","Yes
","Yes
","No
","No
","
","No
"
"S-Lang
","Application, numerical, scripting
","Yes
","No
","No
","Yes
","No
","No
","
","No
"
"Scala
","Application, general, parallel, distributed, web
","Yes
","Yes
","Yes
","No
","Yes
","Yes
","Data-oriented programming, metaprogramming
","De facto standard via Scala Language Specification (SLS)
"
"Scheme
","Education, general
","Yes
","No
","Yes
","No
","No
","No
","meta, extensible-syntax
","De facto1975-2013, R0RS, R1RS, R2RS, R3RS, R4RS, R5RS, R6RS, R7RS Small Edition [41][42]
"
"Seed7
","Application, general, scripting, web
","Yes
","Yes
","No
","No
","Yes
","Yes
","Multi-paradigm, extensible, structured
","No
"
"Simula
","Education, general
","Yes
","Yes
","No
","No
","No
","No
","discrete event simulation, multi-threaded (quasi-parallel) program execution
","Yes1968
"
"Small Basic
","Application, education, games
","Yes
","No
","No
","No
","No
","No
","Component-oriented
","No
"
"Smalltalk
","Application, general, business, artificial intelligence, education, web
","Yes
","Yes
","Yes
","Yes
","No
","Yes
","Concurrent, declarative
","Yes1998, ANSI
"
"SNOBOL
","Text processing
","No
","No
","No
","No
","No
","No
","
","Un­known
"
"Standard ML
","Application
","Yes
","No
","Yes
","No
","Yes
","No
","
","Yes1997, SML '97[43]
"
"Swift
","Application, general
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Concurrent, declarative, protocol-oriented
","No
"
"Tcl
","Application, scripting, web
","Yes
","Yes
","Yes
","Yes
","No
","Yes
","
","No
"
"V (Vlang)
","Application, general, system, game, web, server-side
","Yes
","Can be viewed as
","Can be viewed as
","Yes
","Yes
","Yes
","Concurrent
","No
"
"Visual Basic
","Application, RAD, education, business, general, (Includes VBA), office automation
","Yes
","Yes
","No
","Yes
","Yes
","No
","Component-oriented
","No
"
"Visual Basic .NET
","Application, RAD, education, web, business, general
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Structured, concurrent
","No
"
"Visual FoxPro
","Application
","Yes
","Yes
","No
","Yes
","No
","No
","Data-centric, logic
","No
"
"Visual Prolog
","Application
","Yes
","Yes
","Yes
","No
","No
","No
","Declarative, logic
","No
"
"Wolfram Language
","Symbolic language
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Logic, distributed
","No
"
"XL
","
","Yes
","Yes
","No
","No
","No
","No
","concept programming
","No
"
"Xojo
","Application, RAD, general, web
","Yes
","Yes
","No
","Yes
","No
","Yes
","
","No
"
"XPath/XQuery
","Databases, data processing, scripting
","No
","No
","Yes
","No
","No
","No
","Tree-oriented
","Yes1999 W3C XPath 1, 2010 W3C XQuery 1, 2014 W3C XPath/XQuery 3.0
"
"Zeek
","Domain-specific, application
","Yes
","No
","No
","No
","No
","No
","
","No
"
"Zig
","Application, general, system
","Yes
","No
","Yes
","Yes
","Yes
","Yes
","Concurrent
","No
"
"Zsh
","Shell, scripting
","Yes
","No
","No
","Yes
","No
","No
","Loadable modules
","OptionallyPOSIX.2[13]
"
