,area_type,location,society,total_sqft,bath,balcony,price,bed,price_per_sqft
37,Super built-up  Area,Kundalahalli,Dieldli,1724,3.0,2.0,125.0,3,7250.580046403712
38,Super built-up  Area,Chikkalasandra,GrrvaGr,1290,2.0,2.0,56.12,3,4350.387596899225
39,Built-up  Area,Uttarahalli,GrrvaGr,1143,2.0,2.0,45.0,2,3937.0078740157483
40,Built-up  Area,Murugeshpalya,other_society,1296,2.0,2.0,81.0,2,6250.0
41,Super built-up  Area,Sarjapur  Road,other_society,1254,3.0,2.0,38.0,3,3030.3030303030305
42,Super built-up  Area,others,other_society,600,1.0,0.0,38.0,1,6333.333333333333
43,Plot  Area,Yelahanka,GrrvaGr,660,1.0,0.0,48.0,1,7272.727272727273
44,Super built-up  Area,Kanakpura Road,Soazak,1330,2.0,2.0,91.79,2,6901.503759398496
45,Plot  Area,HSR Layout,GrrvaGr,600,9.0,2.0,200.0,8,33333.333333333336
46,Super built-up  Area,Doddathoguru,other_society,970,2.0,0.0,33.0,2,3402.061855670103
47,Super built-up  Area,Whitefield,Goted U,1459,2.0,1.0,94.82,2,6498.971898560658
48,Plot  Area,KR Puram,GrrvaGr,800,1.0,1.0,130.0,2,16250.0
49,Built-up  Area,others,GrrvaGr,869,2.0,1.0,36.0,2,4142.692750287687
50,Super built-up  Area,others,other_society,1270,2.0,1.0,50.0,2,3937.0078740157483
51,Super built-up  Area,Bhoganhalli,Rosha I,1670,3.0,1.0,99.0,3,5928.143712574851
52,Built-up  Area,Whitefield,other_society,2010,3.0,2.0,91.0,3,4527.363184079602
53,Super built-up  Area,Lakshminarayana Pura,RothaVa,1185,2.0,2.0,75.0,2,6329.113924050633
54,Super built-up  Area,Yelahanka,other_society,1600,2.0,3.0,75.0,3,4687.5
55,Super built-up  Area,Begur Road,Dhalsh,1200,2.0,2.0,44.0,2,3666.6666666666665
56,Built-up  Area,Devanahalli,other_society,3010,2.0,2.0,192.0,4,6378.7375415282395
57,Super built-up  Area,others,other_society,1500,2.0,2.0,185.0,2,12333.333333333334
58,Plot  Area,Murugeshpalya,GrrvaGr,1407,4.0,1.0,150.0,6,10660.980810234541
59,Super built-up  Area,others,GrrvaGr,840,2.0,2.0,45.0,2,5357.142857142857
60,Plot  Area,others,GrrvaGr,4395,3.0,2.0,240.0,3,5460.750853242321
61,Super built-up  Area,others,other_society,845,2.0,1.0,55.0,2,6508.87573964497
62,Plot  Area,Whitefield,other_society,5700,5.0,3.0,650.0,4,11403.508771929824
63,Built-up  Area,Varthur,other_society,1160,2.0,2.0,44.0,2,3793.103448275862
64,Built-up  Area,Bommanahalli,GrrvaGr,3000,8.0,0.0,140.0,8,4666.666666666667
65,Super built-up  Area,Doddathoguru,GrrvaGr,1100,2.0,1.0,62.0,2,5636.363636363636
66,Super built-up  Area,Gunjur,other_society,1140,2.0,3.0,43.0,2,3771.9298245614036
67,Super built-up  Area,Marathahalli,GrrvaGr,1220,2.0,1.0,57.0,2,4672.131147540984
68,Plot  Area,Devarachikkanahalli,GrrvaGr,1350,7.0,0.0,85.0,8,6296.2962962962965
69,Super built-up  Area,Kanakpura Road,GrrvaGr,1005,2.0,1.0,36.68,2,3649.7512437810947
70,Plot  Area,others,GrrvaGr,500,3.0,2.0,100.0,3,20000.0
71,Super built-up  Area,Begur Road,Pruthg,1358,2.0,1.0,80.58,2,5933.726067746687
72,Super built-up  Area,Hegde Nagar,other_society,1569,3.0,1.0,101.0,3,6437.221159974506
73,Super built-up  Area,Haralur Road,SNnia E,1240,2.0,1.0,70.0,2,5645.1612903225805
74,Super built-up  Area,Hennur Road,other_society,2089,3.0,2.0,140.0,3,6701.771182383915
75,Super built-up  Area,Kothannur,GrrvaGr,1206,2.0,1.0,48.23,2,3999.1708126036483
76,Super built-up  Area,Kalena Agrahara,GrrvaGr,1150,2.0,3.0,40.0,2,3478.2608695652175
77,Built-up  Area,others,other_society,2511,3.0,3.0,205.0,3,8164.078056551175
78,Built-up  Area,Kaval Byrasandra,GrrvaGr,460,1.0,0.0,22.0,2,4782.608695652174
79,Built-up  Area,ISRO Layout,GrrvaGr,4400,6.0,3.0,250.0,6,5681.818181818182
80,Super built-up  Area,others,other_society,1660,2.0,2.0,105.0,3,6325.301204819277
81,Built-up  Area,Hennur Road,other_society,2957,2.0,2.0,224.5,4,7592.154210348326
82,Super built-up  Area,Yelahanka,Niareum,1326,2.0,2.0,78.0,2,5882.35294117647
83,Super built-up  Area,Garudachar Palya,GrrvaGr,1325,2.0,2.0,60.8,3,4588.679245283019
84,Super built-up  Area,EPIP Zone,other_society,1499,5.0,2.0,102.0,3,6804.536357571715
85,Built-up  Area,Hegde Nagar,GrrvaGr,3000,7.0,2.0,210.0,6,7000.0
86,Super built-up  Area,Kanakpura Road,GrrvaGr,1665,3.0,2.0,88.0,3,5285.285285285286
87,Super built-up  Area,Dasanapura,Tavenew,708,2.0,2.0,37.0,2,5225.988700564972
88,Super built-up  Area,Kasavanhalli,other_society,1060,2.0,2.0,58.06,2,5477.358490566037
89,Plot  Area,Rajaji Nagar,GrrvaGr,710,6.0,3.0,160.0,6,22535.211267605635
90,Built-up  Area,Sanjay nagar,other_society,1000,2.0,2.0,70.0,2,7000.0
91,Super built-up  Area,Electronic City,GrrvaGr,1000,2.0,1.0,28.88,2,2888.0
92,Super built-up  Area,others,GrrvaGr,1450,2.0,2.0,70.0,3,4827.586206896552
93,Plot  Area,ISRO Layout,GrrvaGr,1200,4.0,2.0,155.0,4,12916.666666666666
94,Super built-up  Area,Thanisandra,Bhmesy,1296,2.0,3.0,80.0,2,6172.83950617284
95,Super built-up  Area,Domlur,GrrvaGr,1540,3.0,2.0,90.0,3,5844.1558441558445
96,Plot  Area,Kengeri,other_society,2894,4.0,1.0,245.0,4,8465.791292328957
97,Super built-up  Area,Sarjapura - Attibele Road,GrrvaGr,1330,2.0,1.0,48.0,3,3609.0225563909776
98,Built-up  Area,others,GrrvaGr,1200,2.0,1.0,65.0,2,5416.666666666667
99,Built-up  Area,others,GrrvaGr,1200,3.0,1.0,90.0,3,7500.0
100,Super built-up  Area,Yeshwanthpur,IBityin,2502,3.0,3.0,138.0,3,5515.587529976019
101,Built-up  Area,Chandapura,other_society,650,1.0,1.0,17.0,2,2615.3846153846152
102,Plot  Area,Kothanur,other_society,2400,2.0,1.0,150.0,3,6250.0
103,Super built-up  Area,others,other_society,1007,2.0,2.0,43.0,2,4270.109235352532
104,Super built-up  Area,others,other_society,1200,2.0,2.0,50.0,2,4166.666666666667
105,Super built-up  Area,others,GrrvaGr,966,2.0,2.0,49.9,2,5165.631469979296
106,Built-up  Area,Nagarbhavi,GrrvaGr,1630,2.0,1.0,98.0,3,6012.269938650306
107,Built-up  Area,Rajaji Nagar,Brway G,1640,3.0,2.0,229.0,3,13963.414634146342
108,Built-up  Area,others,GrrvaGr,782,2.0,2.0,55.68,2,7120.204603580562
109,Super built-up  Area,Devanahalli,other_society,1260,2.0,2.0,66.78,2,5300.0
110,Super built-up  Area,others,GrrvaGr,1800,3.0,3.0,120.0,3,6666.666666666667
111,Super built-up  Area,others,other_society,1413,2.0,2.0,75.0,3,5307.855626326964
112,Super built-up  Area,Whitefield,Sonviik,1116,2.0,1.0,51.91,2,4651.433691756272
113,Super built-up  Area,Electronic City,DSgmax,1530,2.0,1.0,45.9,3,3000.0
114,Built-up  Area,Ramamurthy Nagar,GrrvaGr,3700,4.0,1.0,225.0,4,6081.081081081081
115,Built-up  Area,Sarjapur  Road,other_society,2497,3.0,2.0,140.0,3,5606.728073688426
116,Super built-up  Area,Kengeri,other_society,1540,2.0,3.0,64.0,3,4155.8441558441555
117,Super built-up  Area,Thanisandra,GrrvaGr,1436,3.0,1.0,74.75,3,5205.431754874652
118,Super built-up  Area,Malleshwaram,GrrvaGr,1100,2.0,2.0,75.0,2,6818.181818181818
119,Plot  Area,Hennur Road,GrrvaGr,276,3.0,3.0,23.0,2,8333.333333333334
120,Super built-up  Area,Thanisandra,other_society,1427,3.0,2.0,120.0,3,8409.250175192712
121,Super built-up  Area,Akshaya Nagar,other_society,2061,3.0,1.0,200.0,3,9704.02717127608
122,Super built-up  Area,Hebbal,SNontle,3067,4.0,0.0,477.0,4,15552.657319856537
123,Built-up  Area,Shampura,GrrvaGr,2650,4.0,2.0,150.0,4,5660.377358490566
124,Super built-up  Area,Devanahalli,Sabixtt,1282,2.0,2.0,68.52,3,5344.773790951638
125,Built-up  Area,Kadugodi,GrrvaGr,1050,2.0,1.0,34.0,2,3238.095238095238
126,Built-up  Area,LB Shastri Nagar,other_society,1600,3.0,2.0,65.0,3,4062.5
127,Super built-up  Area,others,GrrvaGr,945,2.0,1.0,54.0,2,5714.285714285715
128,Super built-up  Area,Hormavu,other_society,1500,2.0,1.0,78.0,2,5200.0
129,Plot  Area,Vishwapriya Layout,GrrvaGr,950,7.0,0.0,115.0,7,12105.263157894737
130,Built-up  Area,others,other_society,1870,3.0,3.0,110.0,3,5882.35294117647
131,Plot  Area,Sarjapur,other_society,1600,3.0,1.0,75.0,3,4687.5
132,Super built-up  Area,Electronic City,Itelaa,880,1.0,1.0,16.5,2,1875.0
133,Plot  Area,others,GrrvaGr,1200,4.0,0.0,210.0,4,17500.0
134,Super built-up  Area,Kudlu Gate,other_society,1535,3.0,2.0,83.0,3,5407.166123778502
135,Built-up  Area,Kanakpura Road,Wiowsri,950,2.0,1.0,57.0,2,6000.0
136,Super built-up  Area,Devanahalli,other_society,1360,2.0,1.0,65.0,2,4779.411764705882
137,Super built-up  Area,8th Phase JP Nagar,other_society,1042,2.0,0.0,54.005,2,5182.821497120921
138,Super built-up  Area,Bommasandra Industrial Area,GrrvaGr,1280,3.0,1.0,50.4,3,3937.5
139,Super built-up  Area,others,other_society,1260,2.0,2.0,85.05,3,6750.0
140,Built-up  Area,Hennur Road,GrrvaGr,5000,8.0,2.0,250.0,8,5000.0
141,Super built-up  Area,Yelahanka,other_society,3050,5.0,1.0,213.0,5,6983.606557377049
142,Super built-up  Area,Kasavanhalli,other_society,1563,3.0,1.0,105.0,3,6717.85028790787
143,Super built-up  Area,ISRO Layout,GrrvaGr,1000,2.0,1.0,60.0,2,6000.0
144,Super built-up  Area,Anandapura,ViensRK,1167,2.0,1.0,43.76,2,3749.7857754927163
145,Super built-up  Area,Vishveshwarya Layout,GrrvaGr,4000,7.0,2.0,225.0,7,5625.0
146,Super built-up  Area,Kothanur,Somumys,1828,3.0,2.0,110.0,3,6017.505470459519
147,Super built-up  Area,Kengeri Satellite Town,other_society,890,2.0,1.0,35.0,2,3932.5842696629215
148,Super built-up  Area,others,other_society,1612,3.0,3.0,46.74,3,2899.5037220843674
149,Plot  Area,others,GrrvaGr,1034,5.0,2.0,185.0,6,17891.682785299807
150,Super built-up  Area,Mysore Road,Brama P,1710,4.0,2.0,91.31,3,5339.766081871345
151,Super built-up  Area,Kannamangala,other_society,957,2.0,1.0,58.0,2,6060.606060606061
152,Super built-up  Area,Devarachikkanahalli,GrrvaGr,1250,2.0,3.0,44.0,3,3520.0
153,Super built-up  Area,others,other_society,2795,4.0,2.0,235.0,3,8407.871198568873
154,Super built-up  Area,Hulimavu,other_society,1125,2.0,2.0,50.0,2,4444.444444444444
155,Super built-up  Area,Electronic City Phase II,Sryalan,1020,2.0,1.0,30.6,2,3000.0
156,Super built-up  Area,Kalena Agrahara,GrrvaGr,1200,2.0,2.0,50.0,2,4166.666666666667
157,Super built-up  Area,Thanisandra,Soitya,1735,3.0,3.0,135.0,3,7780.979827089337
158,Super built-up  Area,Thanisandra,G conTh,2050,3.0,1.0,145.0,3,7073.170731707317
159,Plot  Area,Mahalakshmi Layout,GrrvaGr,3750,4.0,0.0,760.0,4,20266.666666666668
160,Built-up  Area,others,GrrvaGr,1350,2.0,3.0,48.0,3,3555.5555555555557
161,Super built-up  Area,Hosa Road,other_society,1063,2.0,1.0,32.0,2,3010.348071495767
162,Super built-up  Area,others,other_society,1904,3.0,1.0,150.0,3,7878.151260504202
163,Built-up  Area,Whitefield,GrrvaGr,4200,4.0,2.0,420.0,4,10000.0
164,Super built-up  Area,others,other_society,2000,3.0,1.0,175.0,3,8750.0
165,Super built-up  Area,Sarjapur,other_society,1145,2.0,0.0,43.49,2,3798.2532751091703
166,Super built-up  Area,others,other_society,1425,2.0,2.0,75.0,3,5263.1578947368425
167,Super built-up  Area,Electronic City,GMown E,1500,2.0,1.0,64.5,3,4300.0
168,Built-up  Area,Electronic City,GMown E,1060,2.0,1.0,60.0,2,5660.377358490566
169,Built-up  Area,others,other_society,1470,2.0,2.0,70.0,3,4761.9047619047615
170,Super built-up  Area,others,GrrvaGr,1300,6.0,0.0,99.0,6,7615.384615384615
171,Super built-up  Area,Attibele,Jae 1hu,450,1.0,1.0,11.0,1,2444.4444444444443
172,Super built-up  Area,Electronic City,Prarkun,1152,2.0,1.0,64.5,2,5598.958333333333
173,Super built-up  Area,Electronic City,GMown E,1350,2.0,1.0,56.0,3,4148.148148148148
174,Super built-up  Area,CV Raman Nagar,other_society,1550,3.0,3.0,65.0,3,4193.548387096775
175,Plot  Area,others,GrrvaGr,1500,3.0,2.0,100.0,3,6666.666666666667
176,Plot  Area,Kumaraswami Layout,GrrvaGr,600,3.0,2.0,85.0,5,14166.666666666666
177,Plot  Area,Nagavara,GrrvaGr,400,1.0,0.0,14.0,1,3500.0
178,Super built-up  Area,Malleshwaram,other_society,705,1.0,2.0,67.0,1,9503.54609929078
179,Built-up  Area,Electronic City,GMown E,770,1.0,1.0,36.0,2,4675.324675324675
180,Super built-up  Area,Hulimavu,other_society,1242,2.0,3.0,51.0,2,4106.280193236715
181,Super built-up  Area,Hebbal Kempapura,Goateds,1700,3.0,2.0,155.0,3,9117.64705882353
182,Super built-up  Area,Thanisandra,Soitya,2144,3.0,2.0,145.0,3,6763.059701492537
183,Super built-up  Area,Vijayanagar,other_society,1704,3.0,2.0,110.0,3,6455.399061032864
184,Super built-up  Area,Electronic City,GMown E,1070,2.0,1.0,52.0,2,4859.813084112149
185,Plot  Area,others,GrrvaGr,1846,3.0,2.0,300.0,3,16251.354279523293
186,Super built-up  Area,others,GrrvaGr,1340,2.0,2.0,55.7,2,4156.7164179104475
187,Built-up  Area,Electronic City,GMown E,1025,2.0,1.0,46.0,2,4487.804878048781
188,Super built-up  Area,KR Puram,other_society,1015,2.0,0.0,56.8,2,5596.059113300493
189,Super built-up  Area,Marathahalli,other_society,1200,2.0,2.0,52.0,2,4333.333333333333
190,Built-up  Area,Kanakpura Road,GrrvaGr,2250,4.0,1.0,110.0,4,4888.888888888889
191,Super built-up  Area,Pattandur Agrahara,other_society,1550,2.0,3.0,80.0,3,5161.290322580645
192,Plot  Area,Bellandur,GrrvaGr,1200,5.0,2.0,325.0,4,27083.333333333332
193,Plot  Area,others,GrrvaGr,1800,7.0,1.0,250.0,7,13888.888888888889
194,Super built-up  Area,Marathahalli,other_society,1200,2.0,2.0,60.0,2,5000.0
195,Super built-up  Area,Yelahanka,PuziaVe,1327,2.0,2.0,98.0,2,7385.079125847777
196,Super built-up  Area,Kothanur,GrrvaGr,1186,2.0,2.0,58.0,2,4890.387858347386
197,Built-up  Area,others,GrrvaGr,1783,3.0,1.0,115.0,3,6449.8037016264725
198,Super built-up  Area,HSR Layout,NRosete,1400,3.0,2.0,56.0,3,4000.0
199,Super built-up  Area,Nagasandra,GrrvaGr,980,2.0,1.0,48.0,2,4897.959183673469
200,Super built-up  Area,EPIP Zone,GrrvaGr,1285,2.0,2.0,82.0,2,6381.322957198444
201,Super built-up  Area,others,GrrvaGr,912,2.0,1.0,70.0,3,7675.438596491228
202,Built-up  Area,Whitefield,other_society,1225,2.0,2.0,47.6,2,3885.714285714286
203,Super built-up  Area,Whitefield,GrrvaGr,1075,2.0,1.0,53.0,2,4930.232558139535
204,Built-up  Area,Kadugodi,other_society,1260,2.0,2.0,54.0,3,4285.714285714285
205,Super built-up  Area,Yelahanka,Pyikad,1282,2.0,2.0,48.7,3,3798.751950078003
206,Super built-up  Area,Kogilu,other_society,1909,3.0,2.0,88.0,3,4609.743321110529
207,Super built-up  Area,Panathur,Prcesvy,1359,2.0,1.0,87.0,2,6401.766004415011
208,Built-up  Area,others,GrrvaGr,1207,2.0,2.0,43.5,2,3603.976801988401
209,Plot  Area,Padmanabhanagar,GrrvaGr,1736,6.0,0.0,190.0,4,10944.700460829494
210,Super built-up  Area,1st Block Jayanagar,GrrvaGr,2850,4.0,1.0,428.0,4,15017.543859649122
211,Super built-up  Area,Kammasandra,other_society,1595,3.0,2.0,65.0,3,4075.2351097178685
212,Built-up  Area,others,GrrvaGr,1798,3.0,2.0,89.0,3,4949.944382647386
213,Super built-up  Area,Electronics City Phase 1,other_society,1475,3.0,2.0,78.29,3,5307.796610169492
214,Super built-up  Area,others,other_society,1580,3.0,3.0,100.0,3,6329.113924050633
215,Super built-up  Area,Dasarahalli,other_society,1295,2.0,1.0,65.0,2,5019.305019305019
216,Built-up  Area,Magadi Road,GrrvaGr,3600,6.0,0.0,141.0,6,3916.6666666666665
217,Super built-up  Area,Electronic City,Itvir M,589,1.0,1.0,27.0,1,4584.040747028863
218,Super built-up  Area,others,GrrvaGr,1415,3.0,3.0,78.0,3,5512.367491166077
219,Super built-up  Area,Sarjapur  Road,Klark L,1787,3.0,2.0,98.29,3,5500.279798545048
220,Super built-up  Area,Sarjapur  Road,Klark L,1787,3.0,2.0,125.0,3,6994.963626189144
221,Super built-up  Area,Koramangala,other_society,1475,2.0,3.0,90.0,3,6101.6949152542375
222,Built-up  Area,others,GrrvaGr,2000,4.0,1.0,75.5,4,3775.0
223,Super built-up  Area,Sarjapur  Road,AsastDe,984,2.0,1.0,44.28,2,4500.0
224,Super built-up  Area,Devanahalli,other_society,1520,2.0,2.0,74.82,3,4922.368421052631
225,Super built-up  Area,others,other_society,2405,4.0,2.0,260.0,3,10810.81081081081
226,Built-up  Area,7th Phase JP Nagar,Brnia G,1080,2.0,2.0,72.0,2,6666.666666666667
227,Plot  Area,others,GrrvaGr,1500,2.0,1.0,115.0,2,7666.666666666667
228,Super built-up  Area,Hebbal,GrrvaGr,1900,3.0,2.0,119.0,3,6263.1578947368425
229,Super built-up  Area,Dommasandra,GrrvaGr,805,2.0,1.0,22.14,2,2750.3105590062114
230,Super built-up  Area,Budigere,PrityTr,1153,2.0,2.0,56.4,2,4891.587163920208
231,Super built-up  Area,others,other_society,1148,2.0,2.0,60.0,2,5226.480836236934
232,Super built-up  Area,others,other_society,1110,2.0,2.0,55.0,2,4954.954954954955
233,Built-up  Area,Electronic City,other_society,1100,2.0,2.0,42.0,2,3818.181818181818
234,Super built-up  Area,Kalyan nagar,other_society,1290,2.0,2.0,110.0,2,8527.131782945737
235,Super built-up  Area,others,GrrvaGr,1500,2.0,1.0,65.0,3,4333.333333333333
236,Super built-up  Area,others,GrrvaGr,1080,2.0,2.0,39.0,2,3611.1111111111113
237,Super built-up  Area,Vijayanagar,Saityat,1933,3.0,1.0,129.0,3,6673.564407656492
238,Built-up  Area,Ramamurthy Nagar,GrrvaGr,3500,5.0,2.0,150.0,5,4285.714285714285
239,Built-up  Area,others,GrrvaGr,1060,2.0,2.0,60.0,2,5660.377358490566
240,Super built-up  Area,Chandapura,SunceEs,645,1.0,1.0,16.45,1,2550.3875968992247
241,Plot  Area,others,GrrvaGr,2600,8.0,2.0,180.0,8,6923.076923076923
242,Super built-up  Area,Chandapura,SunceEs,645,1.0,1.0,16.45,1,2550.3875968992247
243,Super built-up  Area,others,other_society,1644,3.0,3.0,84.0,3,5109.489051094891
244,Super built-up  Area,others,other_society,1285,2.0,3.0,72.5,2,5642.023346303502
245,Plot  Area,Electronic City,GrrvaGr,1200,3.0,1.0,90.0,3,7500.0
246,Super built-up  Area,Electronic City,other_society,910,2.0,1.0,40.0,2,4395.604395604396
247,Super built-up  Area,Kothanur,other_society,1577,3.0,1.0,70.0,3,4438.807863031072
248,Plot  Area,others,other_society,4050,3.0,2.0,280.0,3,6913.580246913581
249,Super built-up  Area,OMBR Layout,other_society,2420,3.0,2.0,185.0,3,7644.628099173554
250,Super built-up  Area,Chandapura,other_society,800,1.0,1.0,20.0,2,2500.0
251,Built-up  Area,others,GrrvaGr,1060,2.0,2.0,55.0,2,5188.679245283019
252,Super built-up  Area,7th Phase JP Nagar,BriumMi,1270,2.0,2.0,93.0,2,7322.834645669292
253,Super built-up  Area,others,GrrvaGr,900,2.0,2.0,22.5,2,2500.0
254,Built-up  Area,others,GrrvaGr,1280,2.0,1.0,69.0,2,5390.625
255,Plot  Area,Horamavu Agara,GrrvaGr,1200,2.0,0.0,95.0,4,7916.666666666667
256,Built-up  Area,Sarjapur  Road,GrrvaGr,1025,2.0,2.0,36.0,2,3512.1951219512193
257,Super built-up  Area,Electronic City,Prarkun,1108,2.0,1.0,63.0,2,5685.9205776173285
258,Plot  Area,others,GrrvaGr,1200,5.0,2.0,170.0,5,14166.666666666666
259,Super built-up  Area,others,other_society,3045,3.0,2.0,170.0,3,5582.922824302134
260,Plot  Area,Ambedkar Nagar,other_society,2900,3.0,2.0,300.0,4,10344.827586206897
261,Super built-up  Area,Vijayanagar,other_society,1500,3.0,2.0,75.5,3,5033.333333333333
262,Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,1295,2.0,2.0,43.9,2,3389.96138996139
263,Super built-up  Area,Budigere,PrityTr,1162,2.0,1.0,59.9,2,5154.9053356282275
264,Super built-up  Area,Sarjapur  Road,Usquaya,1035,2.0,2.0,49.2,2,4753.623188405797
265,Built-up  Area,Attibele,other_society,1600,4.0,0.0,52.8,4,3300.0
266,Super built-up  Area,others,GrrvaGr,1464,3.0,2.0,46.0,3,3142.0765027322404
267,Super built-up  Area,Hennur Road,other_society,1866,2.0,2.0,61.58,3,3300.10718113612
268,Super built-up  Area,others,other_society,700,1.0,1.0,26.0,2,3714.285714285714
269,Super built-up  Area,Kalena Agrahara,other_society,1804,3.0,2.0,120.0,3,6651.884700665189
270,Super built-up  Area,Sarjapur,GrrvaGr,913,2.0,1.0,32.0,2,3504.9288061336256
271,Super built-up  Area,Talaghattapura,Sodgere,1868,3.0,2.0,131.0,3,7012.847965738758
272,Built-up  Area,Kengeri Satellite Town,GrrvaGr,883,2.0,1.0,45.0,2,5096.262740656852
273,Plot  Area,others,GrrvaGr,900,2.0,1.0,110.0,2,12222.222222222223
274,Super built-up  Area,Kogilu,GrrvaGr,1664,2.0,3.0,73.95,3,4444.110576923077
275,Super built-up  Area,Hegde Nagar,SoitaCa,2026,3.0,2.0,132.0,3,6515.301085883514
276,Super built-up  Area,Balagere,other_society,1210,2.0,1.0,80.9,2,6685.950413223141
277,Plot  Area,others,other_society,4111,4.0,2.0,250.0,4,6081.24543906592
278,Super built-up  Area,Kadugodi,Alestrb,1762,3.0,3.0,91.45,3,5190.124858115778
279,Super built-up  Area,Jigani,DLhtsen,1252,3.0,3.0,55.0,3,4392.97124600639
280,Built-up  Area,Gollarapalya Hosahalli,Mauner,861,2.0,1.0,34.5,2,4006.968641114983
281,Built-up  Area,7th Phase JP Nagar,Brnia G,1420,2.0,1.0,100.0,3,7042.2535211267605
282,Plot  Area,others,GrrvaGr,1450,6.0,0.0,250.0,6,17241.379310344826
283,Built-up  Area,Electronics City Phase 1,other_society,1490,3.0,1.0,78.8,3,5288.5906040268455
284,Super built-up  Area,Bisuvanahalli,GrrvaGr,1075,2.0,1.0,46.0,3,4279.069767441861
285,Super built-up  Area,Old Madras Road,other_society,1425,2.0,2.0,94.0,3,6596.491228070176
286,Built-up  Area,Kalena Agrahara,other_society,1200,2.0,1.0,40.0,2,3333.3333333333335
287,Super built-up  Area,Kaggadasapura,GrrvaGr,1280,2.0,2.0,56.0,3,4375.0
288,Super built-up  Area,others,other_society,1084,2.0,2.0,50.0,2,4612.546125461255
289,Super built-up  Area,Chandapura,SunceEs,1015,2.0,2.0,25.88,2,2549.753694581281
290,Super built-up  Area,Kanakpura Road,GolusLi,1017,2.0,1.0,51.25,2,5039.331366764995
291,Super built-up  Area,Haralur Road,GrrvaGr,1027,2.0,2.0,44.0,2,4284.323271665044
